"Índice";"Fecha";"Hora";"Función";"Leyendo";"Unidad"
"85";"7/6/24";"20:21:53";"CA V";"120,0";"V"
"86";"7/6/24";"20:21:54";"CA V";"120,0";"V"
"87";"7/6/24";"20:21:55";"CA V";"120,0";"V"
"88";"7/6/24";"20:21:56";"CA V";"120,0";"V"
"89";"7/6/24";"20:21:57";"CA V";"120,0";"V"
"90";"7/6/24";"20:21:58";"CA V";"120,0";"V"
"91";"7/6/24";"20:21:59";"CA V";"120,0";"V"
"92";"7/6/24";"20:22:00";"CA V";"120,0";"V"
"93";"7/6/24";"20:22:01";"CA V";"120,0";"V"
"94";"7/6/24";"20:22:02";"CA V";"120,0";"V"
"95";"7/6/24";"20:22:03";"CA V";"120,0";"V"
"96";"7/6/24";"20:22:04";"CA V";"120,0";"V"
"97";"7/6/24";"20:22:05";"CA V";"120,0";"V"
"98";"7/6/24";"20:22:06";"CA V";"120,0";"V"
"99";"7/6/24";"20:22:07";"CA V";"120,0";"V"
"100";"7/6/24";"20:22:08";"CA V";"120,0";"V"
"101";"7/6/24";"20:22:09";"CA V";"120,0";"V"
"102";"7/6/24";"20:22:10";"CA V";"120,0";"V"
"103";"7/6/24";"20:22:11";"CA V";"120,0";"V"
"104";"7/6/24";"20:22:12";"CA V";"120,0";"V"
"105";"7/6/24";"20:22:13";"CA V";"120,0";"V"
"106";"7/6/24";"20:22:14";"CA V";"120,0";"V"
"107";"7/6/24";"20:22:15";"CA V";"120,0";"V"
"108";"7/6/24";"20:22:16";"CA V";"120,0";"V"
"109";"7/6/24";"20:22:17";"CA V";"120,0";"V"
"110";"7/6/24";"20:22:18";"CA V";"120,0";"V"
"111";"7/6/24";"20:22:19";"CA V";"120,0";"V"
"112";"7/6/24";"20:22:20";"CA V";"120,0";"V"
"113";"7/6/24";"20:22:21";"CA V";"120,0";"V"
"114";"7/6/24";"20:22:22";"CA V";"120,0";"V"
"115";"7/6/24";"20:22:23";"CA V";"120,0";"V"
"116";"7/6/24";"20:22:24";"CA V";"120,0";"V"
"117";"7/6/24";"20:22:25";"CA V";"120,0";"V"
"118";"7/6/24";"20:22:26";"CA V";"120,0";"V"
"119";"7/6/24";"20:22:27";"CA V";"120,0";"V"
"120";"7/6/24";"20:22:28";"CA V";"120,0";"V"
"121";"7/6/24";"20:22:29";"CA V";"120,0";"V"
"122";"7/6/24";"20:22:30";"CA V";"120,0";"V"
"123";"7/6/24";"20:22:31";"CA V";"120,0";"V"
"124";"7/6/24";"20:22:32";"CA V";"120,0";"V"
"125";"7/6/24";"20:22:33";"CA V";"120,0";"V"
"126";"7/6/24";"20:22:34";"CA V";"120,0";"V"
"127";"7/6/24";"20:22:35";"CA V";"120,0";"V"
"128";"7/6/24";"20:22:36";"CA V";"120,0";"V"
"129";"7/6/24";"20:22:37";"CA V";"120,0";"V"
"130";"7/6/24";"20:22:38";"CA V";"120,0";"V"
"131";"7/6/24";"20:22:39";"CA V";"120,0";"V"
"132";"7/6/24";"20:22:40";"CA V";"120,0";"V"
"133";"7/6/24";"20:22:41";"CA V";"120,0";"V"
"134";"7/6/24";"20:22:42";"CA V";"120,0";"V"
"135";"7/6/24";"20:22:43";"CA V";"120,0";"V"
"136";"7/6/24";"20:22:44";"CA V";"120,0";"V"
"137";"7/6/24";"20:22:45";"CA V";"120,0";"V"
"138";"7/6/24";"20:22:46";"CA V";"120,0";"V"
"139";"7/6/24";"20:22:47";"CA V";"120,0";"V"
"140";"7/6/24";"20:22:48";"CA V";"120,0";"V"
"141";"7/6/24";"20:22:49";"CA V";"120,0";"V"
"142";"7/6/24";"20:22:50";"CA V";"120,0";"V"
"143";"7/6/24";"20:22:51";"CA V";"120,0";"V"
"144";"7/6/24";"20:22:52";"CA V";"120,0";"V"
"145";"7/6/24";"20:22:53";"CA V";"120,0";"V"
"146";"7/6/24";"20:22:54";"CA V";"119,9";"V"
"147";"7/6/24";"20:22:55";"CA V";"119,9";"V"
"148";"7/6/24";"20:22:56";"CA V";"119,9";"V"
"149";"7/6/24";"20:22:57";"CA V";"119,9";"V"
"150";"7/6/24";"20:22:58";"CA V";"119,9";"V"
"151";"7/6/24";"20:22:59";"CA V";"119,9";"V"
"152";"7/6/24";"20:23:00";"CA V";"119,9";"V"
"153";"7/6/24";"20:23:01";"CA V";"119,9";"V"
"154";"7/6/24";"20:23:02";"CA V";"119,9";"V"
"155";"7/6/24";"20:23:03";"CA V";"119,9";"V"
"156";"7/6/24";"20:23:04";"CA V";"119,9";"V"
"157";"7/6/24";"20:23:05";"CA V";"119,9";"V"
"158";"7/6/24";"20:23:06";"CA V";"119,9";"V"
"159";"7/6/24";"20:23:07";"CA V";"119,9";"V"
"160";"7/6/24";"20:23:08";"CA V";"119,9";"V"
"161";"7/6/24";"20:23:09";"CA V";"119,9";"V"
"162";"7/6/24";"20:23:10";"CA V";"119,9";"V"
"163";"7/6/24";"20:23:11";"CA V";"119,9";"V"
"164";"7/6/24";"20:23:12";"CA V";"119,9";"V"
"165";"7/6/24";"20:23:13";"CA V";"119,9";"V"
"166";"7/6/24";"20:23:14";"CA V";"119,9";"V"
"167";"7/6/24";"20:23:15";"CA V";"119,9";"V"
"168";"7/6/24";"20:23:16";"CA V";"119,9";"V"
"169";"7/6/24";"20:23:17";"CA V";"119,9";"V"
"170";"7/6/24";"20:23:18";"CA V";"119,9";"V"
"171";"7/6/24";"20:23:19";"CA V";"119,9";"V"
"172";"7/6/24";"20:23:20";"CA V";"119,8";"V"
"173";"7/6/24";"20:23:21";"CA V";"119,8";"V"
"174";"7/6/24";"20:23:22";"CA V";"119,8";"V"
"175";"7/6/24";"20:23:23";"CA V";"119,8";"V"
"176";"7/6/24";"20:23:24";"CA V";"119,8";"V"
"177";"7/6/24";"20:23:25";"CA V";"119,8";"V"
"178";"7/6/24";"20:23:26";"CA V";"119,8";"V"
"179";"7/6/24";"20:23:27";"CA V";"119,8";"V"
"180";"7/6/24";"20:23:28";"CA V";"119,8";"V"
"181";"7/6/24";"20:23:29";"CA V";"119,8";"V"
"182";"7/6/24";"20:23:30";"CA V";"119,8";"V"
"183";"7/6/24";"20:23:31";"CA V";"119,8";"V"
"184";"7/6/24";"20:23:32";"CA V";"119,8";"V"
"185";"7/6/24";"20:23:33";"CA V";"119,8";"V"
"186";"7/6/24";"20:23:34";"CA V";"119,9";"V"
"187";"7/6/24";"20:23:35";"CA V";"119,9";"V"
"188";"7/6/24";"20:23:36";"CA V";"119,9";"V"
"189";"7/6/24";"20:23:37";"CA V";"119,8";"V"
"190";"7/6/24";"20:23:38";"CA V";"119,8";"V"
"191";"7/6/24";"20:23:39";"CA V";"119,8";"V"
"192";"7/6/24";"20:23:40";"CA V";"119,9";"V"
"193";"7/6/24";"20:23:41";"CA V";"119,9";"V"
"194";"7/6/24";"20:23:42";"CA V";"119,8";"V"
"195";"7/6/24";"20:23:43";"CA V";"119,8";"V"
"196";"7/6/24";"20:23:44";"CA V";"119,8";"V"
"197";"7/6/24";"20:23:45";"CA V";"119,8";"V"
"198";"7/6/24";"20:23:46";"CA V";"119,8";"V"
"199";"7/6/24";"20:23:47";"CA V";"119,8";"V"
"200";"7/6/24";"20:23:48";"CA V";"119,8";"V"
"201";"7/6/24";"20:23:49";"CA V";"119,8";"V"
"202";"7/6/24";"20:23:50";"CA V";"119,8";"V"
"203";"7/6/24";"20:23:51";"CA V";"119,8";"V"
"204";"7/6/24";"20:23:52";"CA V";"119,8";"V"
"205";"7/6/24";"20:23:53";"CA V";"119,8";"V"
"206";"7/6/24";"20:23:54";"CA V";"119,8";"V"
"207";"7/6/24";"20:23:55";"CA V";"119,8";"V"
"208";"7/6/24";"20:23:56";"CA V";"119,8";"V"
"209";"7/6/24";"20:23:57";"CA V";"119,8";"V"
"210";"7/6/24";"20:23:58";"CA V";"119,8";"V"
"211";"7/6/24";"20:23:59";"CA V";"119,8";"V"
"212";"7/6/24";"20:24:00";"CA V";"119,8";"V"
"213";"7/6/24";"20:24:01";"CA V";"119,8";"V"
"214";"7/6/24";"20:24:02";"CA V";"119,8";"V"
"215";"7/6/24";"20:24:03";"CA V";"119,8";"V"
"216";"7/6/24";"20:24:04";"CA V";"119,8";"V"
"217";"7/6/24";"20:24:05";"CA V";"119,8";"V"
"218";"7/6/24";"20:24:06";"CA V";"119,8";"V"
"219";"7/6/24";"20:24:07";"CA V";"119,8";"V"
"220";"7/6/24";"20:24:08";"CA V";"119,8";"V"
"221";"7/6/24";"20:24:09";"CA V";"119,8";"V"
"222";"7/6/24";"20:24:10";"CA V";"119,8";"V"
"223";"7/6/24";"20:24:11";"CA V";"119,9";"V"
"224";"7/6/24";"20:24:12";"CA V";"119,9";"V"
"225";"7/6/24";"20:24:13";"CA V";"119,9";"V"
"226";"7/6/24";"20:24:14";"CA V";"119,9";"V"
"227";"7/6/24";"20:24:15";"CA V";"119,9";"V"
"228";"7/6/24";"20:24:16";"CA V";"119,9";"V"
"229";"7/6/24";"20:24:17";"CA V";"119,9";"V"
"230";"7/6/24";"20:24:18";"CA V";"119,9";"V"
"231";"7/6/24";"20:24:19";"CA V";"119,9";"V"
"232";"7/6/24";"20:24:20";"CA V";"119,8";"V"
"233";"7/6/24";"20:24:21";"CA V";"119,8";"V"
"234";"7/6/24";"20:24:22";"CA V";"119,8";"V"
"235";"7/6/24";"20:24:23";"CA V";"119,8";"V"
"236";"7/6/24";"20:24:24";"CA V";"119,8";"V"
"237";"7/6/24";"20:24:25";"CA V";"119,8";"V"
"238";"7/6/24";"20:24:26";"CA V";"119,8";"V"
"239";"7/6/24";"20:24:27";"CA V";"119,8";"V"
"240";"7/6/24";"20:24:28";"CA V";"119,8";"V"
"241";"7/6/24";"20:24:29";"CA V";"119,8";"V"
"242";"7/6/24";"20:24:30";"CA V";"119,8";"V"
"243";"7/6/24";"20:24:31";"CA V";"119,8";"V"
"244";"7/6/24";"20:24:32";"CA V";"119,8";"V"
"245";"7/6/24";"20:24:33";"CA V";"119,8";"V"
"246";"7/6/24";"20:24:34";"CA V";"119,8";"V"
"247";"7/6/24";"20:24:35";"CA V";"119,8";"V"
"248";"7/6/24";"20:24:36";"CA V";"119,8";"V"
"249";"7/6/24";"20:24:37";"CA V";"119,8";"V"
"250";"7/6/24";"20:24:38";"CA V";"119,9";"V"
"251";"7/6/24";"20:24:39";"CA V";"119,9";"V"
"252";"7/6/24";"20:24:40";"CA V";"119,9";"V"
"253";"7/6/24";"20:24:41";"CA V";"119,9";"V"
"254";"7/6/24";"20:24:42";"CA V";"119,9";"V"
"255";"7/6/24";"20:24:43";"CA V";"119,9";"V"
"256";"7/6/24";"20:24:44";"CA V";"119,9";"V"
"257";"7/6/24";"20:24:45";"CA V";"119,9";"V"
"258";"7/6/24";"20:24:46";"CA V";"119,8";"V"
"259";"7/6/24";"20:24:47";"CA V";"119,8";"V"
"260";"7/6/24";"20:24:48";"CA V";"119,9";"V"
"261";"7/6/24";"20:24:49";"CA V";"119,9";"V"
"262";"7/6/24";"20:24:50";"CA V";"119,8";"V"
"263";"7/6/24";"20:24:51";"CA V";"119,8";"V"
"264";"7/6/24";"20:24:52";"CA V";"119,8";"V"
"265";"7/6/24";"20:24:53";"CA V";"119,8";"V"
"266";"7/6/24";"20:24:54";"CA V";"119,9";"V"
"267";"7/6/24";"20:24:55";"CA V";"119,8";"V"
"268";"7/6/24";"20:24:56";"CA V";"119,8";"V"
"269";"7/6/24";"20:24:57";"CA V";"119,8";"V"
"270";"7/6/24";"20:24:58";"CA V";"119,8";"V"
"271";"7/6/24";"20:24:59";"CA V";"119,8";"V"
"272";"7/6/24";"20:25:00";"CA V";"119,8";"V"
"273";"7/6/24";"20:25:01";"CA V";"119,8";"V"
"274";"7/6/24";"20:25:02";"CA V";"119,8";"V"
"275";"7/6/24";"20:25:03";"CA V";"119,8";"V"
"276";"7/6/24";"20:25:04";"CA V";"119,8";"V"
"277";"7/6/24";"20:25:05";"CA V";"119,8";"V"
"278";"7/6/24";"20:25:06";"CA V";"119,8";"V"
"279";"7/6/24";"20:25:07";"CA V";"119,8";"V"
"280";"7/6/24";"20:25:08";"CA V";"119,8";"V"
"281";"7/6/24";"20:25:09";"CA V";"119,8";"V"
"282";"7/6/24";"20:25:10";"CA V";"119,8";"V"
"283";"7/6/24";"20:25:11";"CA V";"119,8";"V"
"284";"7/6/24";"20:25:12";"CA V";"119,9";"V"
"285";"7/6/24";"20:25:13";"CA V";"119,9";"V"
"286";"7/6/24";"20:25:14";"CA V";"119,8";"V"
"287";"7/6/24";"20:25:15";"CA V";"119,9";"V"
"288";"7/6/24";"20:25:16";"CA V";"119,9";"V"
"289";"7/6/24";"20:25:17";"CA V";"119,9";"V"
"290";"7/6/24";"20:25:18";"CA V";"119,9";"V"
"291";"7/6/24";"20:25:19";"CA V";"119,9";"V"
"292";"7/6/24";"20:25:20";"CA V";"119,9";"V"
"293";"7/6/24";"20:25:21";"CA V";"119,9";"V"
"294";"7/6/24";"20:25:22";"CA V";"119,9";"V"
"295";"7/6/24";"20:25:23";"CA V";"119,9";"V"
"296";"7/6/24";"20:25:24";"CA V";"119,9";"V"
"297";"7/6/24";"20:25:25";"CA V";"119,9";"V"
"298";"7/6/24";"20:25:26";"CA V";"119,9";"V"
"299";"7/6/24";"20:25:27";"CA V";"119,9";"V"
"300";"7/6/24";"20:25:28";"CA V";"119,9";"V"
"301";"7/6/24";"20:25:29";"CA V";"119,9";"V"
"302";"7/6/24";"20:25:30";"CA V";"119,9";"V"
"303";"7/6/24";"20:25:31";"CA V";"119,9";"V"
"304";"7/6/24";"20:25:32";"CA V";"119,9";"V"
"305";"7/6/24";"20:25:33";"CA V";"119,9";"V"
"306";"7/6/24";"20:25:34";"CA V";"119,9";"V"
"307";"7/6/24";"20:25:35";"CA V";"119,9";"V"
"308";"7/6/24";"20:25:36";"CA V";"119,9";"V"
"309";"7/6/24";"20:25:37";"CA V";"119,9";"V"
"310";"7/6/24";"20:25:38";"CA V";"119,9";"V"
"311";"7/6/24";"20:25:39";"CA V";"119,9";"V"
"312";"7/6/24";"20:25:40";"CA V";"119,9";"V"
"313";"7/6/24";"20:25:41";"CA V";"119,9";"V"
"314";"7/6/24";"20:25:42";"CA V";"119,9";"V"
"315";"7/6/24";"20:25:43";"CA V";"119,9";"V"
"316";"7/6/24";"20:25:44";"CA V";"119,9";"V"
"317";"7/6/24";"20:25:45";"CA V";"119,9";"V"
"318";"7/6/24";"20:25:46";"CA V";"119,9";"V"
"319";"7/6/24";"20:25:47";"CA V";"119,9";"V"
"320";"7/6/24";"20:25:48";"CA V";"119,9";"V"
"321";"7/6/24";"20:25:49";"CA V";"119,9";"V"
"322";"7/6/24";"20:25:50";"CA V";"119,9";"V"
"323";"7/6/24";"20:25:51";"CA V";"119,9";"V"
"324";"7/6/24";"20:25:52";"CA V";"119,9";"V"
"325";"7/6/24";"20:25:53";"CA V";"119,9";"V"
"326";"7/6/24";"20:25:54";"CA V";"119,9";"V"
"327";"7/6/24";"20:25:55";"CA V";"119,9";"V"
"328";"7/6/24";"20:25:56";"CA V";"119,8";"V"
"329";"7/6/24";"20:25:57";"CA V";"119,8";"V"
"330";"7/6/24";"20:25:58";"CA V";"119,8";"V"
"331";"7/6/24";"20:25:59";"CA V";"119,8";"V"
"332";"7/6/24";"20:26:00";"CA V";"119,8";"V"
"333";"7/6/24";"20:26:01";"CA V";"119,8";"V"
"334";"7/6/24";"20:26:02";"CA V";"119,8";"V"
"335";"7/6/24";"20:26:03";"CA V";"119,8";"V"
"336";"7/6/24";"20:26:04";"CA V";"119,8";"V"
"337";"7/6/24";"20:26:05";"CA V";"119,8";"V"
"338";"7/6/24";"20:26:06";"CA V";"119,8";"V"
"339";"7/6/24";"20:26:07";"CA V";"119,8";"V"
"340";"7/6/24";"20:26:08";"CA V";"119,8";"V"
"341";"7/6/24";"20:26:09";"CA V";"119,8";"V"
"342";"7/6/24";"20:26:10";"CA V";"119,8";"V"
"343";"7/6/24";"20:26:11";"CA V";"119,9";"V"
"344";"7/6/24";"20:26:12";"CA V";"119,9";"V"
"345";"7/6/24";"20:26:13";"CA V";"119,9";"V"
"346";"7/6/24";"20:26:14";"CA V";"119,9";"V"
"347";"7/6/24";"20:26:15";"CA V";"119,9";"V"
"348";"7/6/24";"20:26:16";"CA V";"119,9";"V"
"349";"7/6/24";"20:26:17";"CA V";"119,9";"V"
"350";"7/6/24";"20:26:18";"CA V";"119,8";"V"
"351";"7/6/24";"20:26:19";"CA V";"119,8";"V"
"352";"7/6/24";"20:26:20";"CA V";"119,9";"V"
"353";"7/6/24";"20:26:21";"CA V";"119,9";"V"
"354";"7/6/24";"20:26:22";"CA V";"119,8";"V"
"355";"7/6/24";"20:26:23";"CA V";"119,8";"V"
"356";"7/6/24";"20:26:24";"CA V";"119,8";"V"
"357";"7/6/24";"20:26:25";"CA V";"119,8";"V"
"358";"7/6/24";"20:26:26";"CA V";"119,9";"V"
"359";"7/6/24";"20:26:27";"CA V";"119,9";"V"
"360";"7/6/24";"20:26:28";"CA V";"119,9";"V"
"361";"7/6/24";"20:26:29";"CA V";"119,9";"V"
"362";"7/6/24";"20:26:30";"CA V";"119,9";"V"
"363";"7/6/24";"20:26:31";"CA V";"119,9";"V"
"364";"7/6/24";"20:26:32";"CA V";"119,8";"V"
"365";"7/6/24";"20:26:33";"CA V";"119,8";"V"
"366";"7/6/24";"20:26:34";"CA V";"119,8";"V"
"367";"7/6/24";"20:26:35";"CA V";"119,8";"V"
"368";"7/6/24";"20:26:36";"CA V";"119,8";"V"
"369";"7/6/24";"20:26:37";"CA V";"119,8";"V"
"370";"7/6/24";"20:26:38";"CA V";"119,8";"V"
"371";"7/6/24";"20:26:39";"CA V";"119,8";"V"
"372";"7/6/24";"20:26:40";"CA V";"119,8";"V"
"373";"7/6/24";"20:26:41";"CA V";"119,8";"V"
"374";"7/6/24";"20:26:42";"CA V";"119,7";"V"
"375";"7/6/24";"20:26:43";"CA V";"119,8";"V"
"376";"7/6/24";"20:26:44";"CA V";"119,8";"V"
"377";"7/6/24";"20:26:45";"CA V";"119,8";"V"
"378";"7/6/24";"20:26:46";"CA V";"119,8";"V"
"379";"7/6/24";"20:26:47";"CA V";"119,8";"V"
"380";"7/6/24";"20:26:48";"CA V";"119,8";"V"
"381";"7/6/24";"20:26:49";"CA V";"119,8";"V"
"382";"7/6/24";"20:26:50";"CA V";"119,8";"V"
"383";"7/6/24";"20:26:51";"CA V";"119,8";"V"
"384";"7/6/24";"20:26:52";"CA V";"119,8";"V"
"385";"7/6/24";"20:26:53";"CA V";"119,8";"V"
"386";"7/6/24";"20:26:54";"CA V";"119,8";"V"
"387";"7/6/24";"20:26:55";"CA V";"119,8";"V"
"388";"7/6/24";"20:26:56";"CA V";"119,8";"V"
"389";"7/6/24";"20:26:57";"CA V";"119,8";"V"
"390";"7/6/24";"20:26:58";"CA V";"119,8";"V"
"391";"7/6/24";"20:26:59";"CA V";"119,8";"V"
"392";"7/6/24";"20:27:00";"CA V";"119,8";"V"
"393";"7/6/24";"20:27:01";"CA V";"119,8";"V"
"394";"7/6/24";"20:27:02";"CA V";"119,8";"V"
"395";"7/6/24";"20:27:03";"CA V";"119,8";"V"
"396";"7/6/24";"20:27:04";"CA V";"119,8";"V"
"397";"7/6/24";"20:27:05";"CA V";"119,8";"V"
"398";"7/6/24";"20:27:06";"CA V";"119,8";"V"
"399";"7/6/24";"20:27:07";"CA V";"119,8";"V"
"400";"7/6/24";"20:27:08";"CA V";"119,8";"V"
"401";"7/6/24";"20:27:09";"CA V";"119,8";"V"
"402";"7/6/24";"20:27:10";"CA V";"119,8";"V"
"403";"7/6/24";"20:27:11";"CA V";"119,8";"V"
"404";"7/6/24";"20:27:12";"CA V";"119,8";"V"
"405";"7/6/24";"20:27:13";"CA V";"119,8";"V"
"406";"7/6/24";"20:27:14";"CA V";"119,8";"V"
"407";"7/6/24";"20:27:15";"CA V";"119,8";"V"
"408";"7/6/24";"20:27:16";"CA V";"119,8";"V"
"409";"7/6/24";"20:27:17";"CA V";"119,8";"V"
"410";"7/6/24";"20:27:18";"CA V";"119,8";"V"
"411";"7/6/24";"20:27:19";"CA V";"119,8";"V"
"412";"7/6/24";"20:27:20";"CA V";"119,8";"V"
"413";"7/6/24";"20:27:21";"CA V";"119,8";"V"
"414";"7/6/24";"20:27:22";"CA V";"119,9";"V"
"415";"7/6/24";"20:27:23";"CA V";"119,9";"V"
"416";"7/6/24";"20:27:24";"CA V";"119,9";"V"
"417";"7/6/24";"20:27:25";"CA V";"119,9";"V"
"418";"7/6/24";"20:27:26";"CA V";"119,9";"V"
"419";"7/6/24";"20:27:27";"CA V";"119,9";"V"
"420";"7/6/24";"20:27:28";"CA V";"119,9";"V"
"421";"7/6/24";"20:27:29";"CA V";"119,9";"V"
"422";"7/6/24";"20:27:30";"CA V";"119,9";"V"
"423";"7/6/24";"20:27:31";"CA V";"119,9";"V"
"424";"7/6/24";"20:27:32";"CA V";"119,9";"V"
"425";"7/6/24";"20:27:33";"CA V";"119,9";"V"
"426";"7/6/24";"20:27:34";"CA V";"119,9";"V"
"427";"7/6/24";"20:27:35";"CA V";"119,9";"V"
"428";"7/6/24";"20:27:36";"CA V";"119,9";"V"
"429";"7/6/24";"20:27:37";"CA V";"119,9";"V"
"430";"7/6/24";"20:27:38";"CA V";"119,9";"V"
"431";"7/6/24";"20:27:39";"CA V";"119,9";"V"
"432";"7/6/24";"20:27:40";"CA V";"119,9";"V"
"433";"7/6/24";"20:27:41";"CA V";"119,9";"V"
"434";"7/6/24";"20:27:42";"CA V";"119,9";"V"
"435";"7/6/24";"20:27:43";"CA V";"119,9";"V"
"436";"7/6/24";"20:27:44";"CA V";"119,9";"V"
"437";"7/6/24";"20:27:45";"CA V";"119,9";"V"
"438";"7/6/24";"20:27:46";"CA V";"119,9";"V"
"439";"7/6/24";"20:27:47";"CA V";"119,9";"V"
"440";"7/6/24";"20:27:48";"CA V";"119,9";"V"
"441";"7/6/24";"20:27:49";"CA V";"119,9";"V"
"442";"7/6/24";"20:27:50";"CA V";"119,9";"V"
"443";"7/6/24";"20:27:51";"CA V";"119,9";"V"
"444";"7/6/24";"20:27:52";"CA V";"119,9";"V"
"445";"7/6/24";"20:27:53";"CA V";"119,9";"V"
"446";"7/6/24";"20:27:54";"CA V";"119,9";"V"
"447";"7/6/24";"20:27:55";"CA V";"119,9";"V"
"448";"7/6/24";"20:27:56";"CA V";"119,9";"V"
"449";"7/6/24";"20:27:57";"CA V";"119,9";"V"
